project_ID	geocoded	project_title	date_of_effectiveness	actual_start_date	date_of_agreement	donors	iati_donor_codes	donor_iso3	amp_sector_name	donor_iso3	ad_sector_code	ad_sector_name	status	total_c_to_2012	total_d_to_2012	c_2000	c_2001	c_2002	c_2003	c_2004	c_2005	c_2006	c_2007	c_2008	c_2009	c_2010	c_2011	c_2012	c_2013_currentUSD	d_2001	d_2002	d_2003	d_2004	d_2005	d_2006	d_2007	d_2008	d_2009	d_2010	d_2011	d_2012	d_2013_currentUSD
87238100361	1	"Programme Component Result: PCR5, Intermediate Results: IR 1 - Local Governance"	2011-01-01	2011-02-01	2011-03-28	"United Nations Children's Fund"	41122		"LOCAL DEVELOPMENT"	DAC	430	Other	On-Going	4423115	3339455.78	0	0	0	0	0	0	0	0	0	0	0	4423115	0	0	0	0	0	0	0	0	0	0	0	0	1401027	1938428.78	0
87238100375	1	"PCR5, IR-3: Legislation, social protection, social budgeting, child poverty"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"WOMEN CHILDREN & SOCIAL WELFARE"	DAC	160	"Other Social Infrastructure and Services"	On-Going	307900	343646.76	0	0	0	0	0	0	0	0	0	0	0	307900	0	0	0	0	0	0	0	0	0	0	0	0	107569	236077.76	0
87238100381	1	"PCR5, IR - 4: Participation and Partnerships"	2008-01-01	2008-13-01	2008-02-32	"United Nations Children's Fund"	41122		"WOMEN CHILDREN & SOCIAL WELFARE"	DAC	160	"Other Social Infrastructure and Services"	On-Going	662868	559273.91	0	0	0	0	0	0	0	0	0	0	0	662868	0	0	0	0	0	0	0	0	0	0	0	0	458000	101273.91	0
87238100575	1	"PCR5, IR5: Evidence and disaggregated information on the Situation of Children and Women generated and made available to policy makers through a KM system"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"PLANNING & STATISTICS|POLICY AND STRATEGIC"	DAC	150|150	"Government and Civil Society|Government and civil society"	On-Going	256000	145330.15	0	0	0	0	0	0	0	0	0	0	0	256000	0	0	0	0	0	0	0	0	0	0	0	0	92100	53230.15	0
87238100576	1	"PCR 3, IR 1: Pregnant women and adolescents from MARP groups in intervention areas , who need ARV treatment are empowered to opt for appropriate services for themselves and their children."	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	752800	371896.57	0	0	0	0	0	0	0	0	0	0	0	752800	0	0	0	0	0	0	0	0	0	0	0	0	290164	81732.57	0
87238100577	1	"PCR 3, IR 2: Adolescent girls and boys specifically MARAs and EVAs have comprehensive knowledge and skills to protect themselves from HIV in intervention areas."	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	877498.79	219859	0	0	0	0	0	0	0	0	0	0	877498.79	0	0	0	0	0	0	0	0	0	0	0	0	0	95601	124258	0
87238100578	1	"PCR 3, IR 3: CABA specifically adolescent girls have access to programmes to strengthen their life skills and to protection mechanisms that provide them with protection and care services from families, communities and government in intervention areas."	2008-01-01	2008-01-01	2011-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	846939.14	183325.51	0	0	0	0	0	0	0	0	0	0	846939.14	0	0	0	0	0	0	0	0	0	0	0	0	0	95601	87724.51	0
87238100579	1	"PCR 4, IR 1 - Legislation and Justice System"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"WOMEN CHILDREN & SOCIAL WELFARE"	DAC	160	"Other Social Infrastructure and Services"	On-Going	873133.13	615034.15	0	0	0	0	0	0	0	0	0	0	873133.13	0	0	0	0	0	0	0	0	0	0	0	0	0	35041	579993.15	0
87238100583	1	"PCR 2, IR 1: Education sector Policy lobby and advocacy"	2008-01-01	8-01-01	2011-02-25	"United Nations Children's Fund"	41122		"EDUCATION|POLICY AND STRATEGIC"	DAC	110|150	"Education|Government and civil society"	On-Going	2360398.64	524287.82	0	0	0	0	0	0	0	0	0	0	2360398.64	0	0	0	0	0	0	0	0	0	0	0	0	0	330779	193508.82	0
87238100589	1	"PCR 2, IR 2: Child Friendly Service delivery"	2008-01-01	2008-01-01	2008-02-29	"United Nations Children's Fund"	41122		EDUCATION	DAC	110	Education	On-Going	2886460.26	2696451.8	0	0	0	0	0	0	0	0	0	0	2886460.26	0	0	0	0	0	0	0	0	0	0	0	0	0	1193893	1502558.8	0
87238100590	1	"PCR 2, IR 3: Peace & Emergency Education Stakeholder capacity in disaster risk reduction, preparedness, response & recovery enhanced to ensure education of children (girls & boys) & adolescent girls during humanitarian crises in line with the CCCs."	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"EDUCATION|PEACE AND RECONSTRUCTION"	DAC	110|700	"Education|Humanitarian Aid (Including Reconstruction and Recovery)"	On-Going	900713.22	712373.86	0	0	0	0	0	0	0	0	0	0	900713.22	0	0	0	0	0	0	0	0	0	0	0	0	0	220087	492286.86	0
87238100591	1	"PCR 2, IR 4: Community Mobilization and Capacity Building"	-2008-01-01	2009-02-29	2008-02-25	"United Nations Children's Fund"	41122		EDUCATION	DAC	110	Education	On-Going	1485627.29	735647.67	0	0	0	0	0	0	0	0	0	0	1485627.29	0	0	0	0	0	0	0	0	0	0	0	0	0	239322	496325.67	0
87238100592	1	"PCR 4, IR 2: Social Welfare Services"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"WOMEN CHILDREN & SOCIAL WELFARE"	DAC	160	"Other Social Infrastructure and Services"	On-Going	1615296.29	650245.41	0	0	0	0	0	0	0	0	0	0	1615296.29	0	0	0	0	0	0	0	0	0	0	0	0	0	115000	535245.41	0
87238100593	1	"PCR 4, IR 3: Community-Based and Coordination/Referral"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"WOMEN CHILDREN & SOCIAL WELFARE"	DAC	160	"Other Social Infrastructure and Services"	On-Going	6109749.1	3836111.09	0	0	0	0	0	0	0	0	0	0	6109749.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1653112	2182999.09	0
87238100594	1	"PCR 4, IR 4: Child Protection - Armed Conflict"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"WOMEN CHILDREN & SOCIAL WELFARE"	DAC	160	"Other Social Infrastructure and Services"	On-Going	5427613.84	2861945.06	0	0	0	0	0	0	0	0	0	0	5427613.84	0	0	0	0	0	0	0	0	0	0	0	0	0	790197	2071748.06	0
87238100595	1	"PCR 1, IR 1: Maternal and Child Health and Nutrition –Equity focused Policy and Strategy Support"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	635368	317970.24	0	0	0	0	0	0	0	0	0	0	0	635368	0	0	0	0	0	0	0	0	0	0	0	0	0	317970.24	0
87238100596	1	"PCR 1, IR 2: Maternal and Child Health and nutrition –services for women, children and adolescent girls"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	5148313	4433087.41	0	0	0	0	0	0	0	0	0	0	0	5148313	0	0	0	0	0	0	0	0	0	0	0	0	0	4433087.41	0
87238100597	1	"PCR 1, IR 3: Access & utilization of micronutrients (Vitamin A, iron tablets, MNP Powder, Iodized salt) with focus on children, adolescent girls & mothers in disadvantaged groups and urban areas increased."	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	1628324	2335309.08	0	0	0	0	0	0	0	0	0	0	0	1628324	0	0	0	0	0	0	0	0	0	0	0	0	1071274	1264035.08	0
87238100598	1	"PCR 1, IR 5: Capacity of Govt/ Stakeholders in disaster risk reduction, preparedness, response & recovery enhanced to ensure H&N status of children, adolescents girls & women during humanitarian crisis"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	753000	906964.05	0	0	0	0	0	0	0	0	0	0	0	753000	0	0	0	0	0	0	0	0	0	0	0	0	372425	534539.05	0
87238100599	1	"PCR 1, IR 4: Maternal, Newborn, child health and adolescents survival- Communication for Development"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		HEALTH	DAC	120	Health	On-Going	789000	672235.18	0	0	0	0	0	0	0	0	0	0	0	789000	0	0	0	0	0	0	0	0	0	0	0	0	122227	550008.18	0
87238100600	1	"PCR 6, IR 1 - National WASH Programme formulated, ensuring the incorporation of gender, social inclusion and equity issues"	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"DRINKING WATER|LOCAL DEVELOPMENT"	DAC	140|430	"Water Supply and Sanitation|Other"	On-Going	386000	247210.58	0	0	0	0	0	0	0	0	0	0	0	386000	0	0	0	0	0	0	0	0	0	0	0	0	179753	67457.58	0
87238100601	1	"PCR 6, IR 2: HHs and institutions especially in MDAG VDCs in DACAW, diarrhoea prone & low sanitation coverage districts increasingly utilise improved sanitation, hygiene and water supply facilities."	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"DRINKING WATER|LOCAL DEVELOPMENT"	DAC	140|430	"Water Supply and Sanitation|Other"	On-Going	2427074	2460609.63	0	0	0	0	0	0	0	0	0	0	0	2427074	0	0	0	0	0	0	0	0	0	0	0	0	1040847	1419762.63	0
87238100602	1	"PCR 6, IR 3 - Cluster leadership and equitable access and use of emergency WASH services in line with the CCCs & Sphere standards."	2008-01-01	2008-01-01	2008-02-25	"United Nations Children's Fund"	41122		"DRINKING WATER|LOCAL DEVELOPMENT"	DAC	140|430	"Water Supply and Sanitation|Other"	On-Going	311404	631485.05	0	0	0	0	0	0	0	0	0	0	0	311404	0	0	0	0	0	0	0	0	0	0	0	0	399522	231963.05	0
87238101433	1	"PRRO 200136 Food Assistance to Refugees from Bhutan"	2011-01-01	2011-01-01	2010-09-23	"Denmark|World Food Programme"	11000|41140		"HEALTH|OTHERS: SOCIAL"	DAC	120|160	"Health|Other Social Infrastructure and Services"	On-Going	25170885.83	14428469.7	0	0	0	0	0	0	0	0	0	0	11249985.36	59547	13861353.47	0	0	0	0	0	0	0	0	0	0	0	4209076	10219393.7	1772018
87238101447	1	"PRRO 200152 Assistance to Food-insecure Populations in the Mid/Far-West Hill and Mountain Regions of Nepal"	2011-01-01	2011-01-01	2010-09-01	"World Food Programme"	41140		"HEALTH|LIVELIHOOD|LOCAL DEVELOPMENT|OTHERS: SOCIAL"	DAC	120|160|430|160	"Health|Other Social Infrastructure and Services|Other|Other Social Infrastructure and Services"	On-Going	178859501.28	50778044.81	0	0	0	0	0	0	0	0	0	0	97753694.81	0	81105806.47	0	0	0	0	0	0	0	0	0	0	0	14895425	35882619.81	0
87238102495	1	"Experimenting HIV/Youth Frendly services integration to health services in Nepal -Project Acceleration Fund (PAF)"	2008-04-30	2008-04-30	2008-04-30	"Joint United Nations Programme on HIV/AIDS"	41110		HEALTH	DAC	120	Health	Completed	43075.21	40370.66	0	0	0	0	0	0	0	0	43075.21	0	0	0	0	0	0	0	0	0	0	0	0	0	40370.66	0	0	0	0
87238102692	1	"Unified Work-Plan and Budget (UBW)"		2010-12-31	2010-08-24	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	99264.32	20764.82	0	0	0	0	0	0	0	0	0	0	99264.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20764.82	0
87238102693	1	"Emergency Life saving mobile reproductive health services in the remotest and conflict affected districts of Nepal (CERF)"		2010-09-20	2010-09-20	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	257433.48	217789.94	0	0	0	0	0	0	0	0	0	0	257433.48	0	0	0	0	0	0	0	0	0	0	0	0	6911.94	210878	0	0
87238102696	1	"Emergency Reproductive Health services to conflict affected and marginalized population the Far Western Region of Nepal (ECHO V)"	2010-12-01	2010-12-31	2010-12-21	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	546715.31	328679	0	0	0	0	0	0	0	0	0	0	546715.31	0	0	0	0	0	0	0	0	0	0	0	0	0	328679	0	0
87238102759	1	"Delivering Essential Reproductive Health Care for Women, Men and Adolescents of Mid and Far Western Districts of Nepal through Mobile Reproductive Health Camps."		2008-08-01	2008-07-21	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	553516.51	508977.68	0	0	0	0	0	0	0	0	553516.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508977.68	0	0	0
87238102760	1	"Multi-Sectoral Gender Based Violence Response at the District Level in Nepal (EVAW)"	2009-08-01	2009-08-22	2009-08-01	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	456972.52	169613.87	0	0	0	0	0	0	0	0	0	456972.52	0	0	0	0	0	0	0	0	0	0	0	0	0	117165.73	13748	38700.14	174908
87238102761	1	"Support to the Rehabilitation of Verified Minors and Late Recruits (UNIRP)."	2010-05-12	2010-06-01	2010-05-12	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	973958.18	324310.32	0	0	0	0	0	0	0	0	0	0	973958.18	0	0	0	0	0	0	0	0	0	0	0	0	0	233814	90496.32	0
87238102762	1	"COUNTRY PROGRAMME ACTION PLAN (CPAP), 2008-2010 (extended to 2012) for the Programme of Cooperation between The Government of Nepal and The United Nations Population Fund (UNFPA)"	2008-01-01	2008-01-01	2008-02-25	"United Nations Population Fund"	41119		"HEALTH|LOCAL DEVELOPMENT"	DAC	120|430	Health|Other	Completed	26306966.57	22365267.39	0	0	0	0	0	0	0	0	18306966.57	0	0	8000000	0	0	0	0	0	0	0	0	0	0	11161562.95	0	7464377	3739327.44	0
87238102763	1	"Delivering Essential Reproductive Health Care, Education and Counselling to Vulnerable Women and Adolescent Girls of Nepal affected by conflict (HSTF)"		2010-02-14	2010-03-15	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	977087.27	867802.86	0	0	0	0	0	0	0	0	0	0	977087.27	0	0	0	0	0	0	0	0	0	0	0	0	0	470546	397256.86	0
87238102765	1	"Ensuring recognition of sexual violence as a tool of conflict in the Nepal peace building process through documentation and provision of comprehensive services to women and girl victims/survivors (SGBV)."		2010-06-04	2010-04-30	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	1508402.97	1290790.05	0	0	0	0	0	0	0	0	0	0	1508402.97	0	0	0	0	0	0	0	0	0	0	0	0	185783.08	635687	469319.97	0
87238102766	1	"Maternal Health Trust Fund (MHTF)"		2010-10-05	2010-06-18	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	436566.56	154063.25	0	0	0	0	0	0	0	0	0	0	436566.56	0	0	0	0	0	0	0	0	0	0	0	0	34724.5	79151	40187.75	0
87238102779	1	"Providing Emergency Reproductive Health Assistance to conflict affected and vulnerable populations in Far and Mid Western Nepal (ECHO IV)"	2009-09-01	2009-10-01	2009-09-08	"United Nations Population Fund"	41119		HEALTH	DAC	120	Health	Completed	458778.07	448452.09	0	0	0	0	0	0	0	0	0	458778.07	0	0	0	0	0	0	0	0	0	0	0	0	0	448452.09	0	0	0
87238107445	1	"Combating Citrus Decline Problem in Nepal"	2010-09-16	2010-12-01	2010-09-16	"Food and Agriculture Organization"	41301		AGRICULTURE	DAC	311	Agriculture	Completed	330699.17	512619.23	0	0	0	0	0	0	0	0	0	0	330699.17	0	0	0	0	0	0	0	0	0	0	0	0	0	142700	369919.23	0
87238107704	1	"Integrated Pest Management Phase II"	2008-10-27	2008-10-27	2008-10-27	Norway	11000	NOR	AGRICULTURE	NOR	311	Agriculture	On-Going	4094434.43	4177991.88	0	0	0	0	0	0	0	0	4094434.43	0	0	0	0	0	0	0	0	0	0	0	0	384092.61	841184.21	1225883.15	1253696.47	473135.44	638738.988
87238107706	1	"Support to Mitigate the Negative Effects of High Food Prices on Local Rural Populations in Ten Districts"	2009-05-01	2009-05-01	2009-12-14	"Food and Agriculture Organization"	41301		AGRICULTURE	DAC	311	Agriculture	Completed	13054084.39	0	0	0	0	0	0	0	0	0	0	13054084.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87238107708	1	"Technical Assistance Support for Leasehold Forest and Livestock Programme GCP/NEP/062"	2009-08-10	2009-08-10	2009-06-02	Finland	11000	FIN	AGRICULTURE	FIN	311	Agriculture	On-Going	1191524.93	1712808.99	0	0	0	0	0	0	0	0	0	0	1191524.93	0	0	0	0	0	0	0	0	0	0	0	0	176316.35	789953	746539.64	0
87238107712	1	"Piloting land registration and management in Achham district"	2010-06-14	2010-08-01	2010-06-14	"United Nations Peace Fund"	41311		"LAND REFORM & SURVEY"	DAC	311	Agriculture	Completed	42228	258387.33	0	0	0	0	0	0	0	0	0	0	0	42228	0	0	0	0	0	0	0	0	0	0	0	0	19390	238997.33	0
87238107753	1	"Enhancing Capacities for Climate Change Adaptation and Disaster Risk Management for Sustainable Livelihoods in the Agriculture Sector"	2009-10-25	2011-08-31	2009-10-25	"United Nations Development Programme"	41114		AGRICULTURE	DAC	311	Agriculture	Completed	114797	241616.68	0	0	0	0	0	0	0	0	0	114797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222046	19570.68	0
87238107873	1	"Support to the National Integrated Pest Management Programme in Nepal"		2008-10-27	2008-10-27	"Food and Agriculture Organization"	41301		AGRICULTURE	DAC	311	Agriculture	On-Going	3661393.31	1807024.81	0	0	0	0	0	0	0	0	3661393.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896887.81	910137	0	0
872381092468	1	"Conducting Baseline Survey on the Status on the Conflict Affected Women"	2012-02-01	2012-02-01	2012-02-01	"United Nations Development Fund for Women"	41124		"PEACE AND RECONSTRUCTION"	DAC	700	"Humanitarian Aid (Including Reconstruction and Recovery)"	Completed	23436.62	21366.14	0	0	0	0	0	0	0	0	0	0	0	0	23436.62	0	0	0	0	0	0	0	0	0	0	0	0	21366.14	0
